,Electricity Bill(Monthly in Rs.),Gas Bill (Monthly in Rs.),Oil Bill (Monthly in Rs),Car Mileage (Yearly in Rs.),No. of flights in Past year(4hr or less),No. of flights in past year (4hrs or more),Recycled Newspaper past year,Recycled Aluminium and Tin Past year,CO2 Footprint (Tonnes)
725,9141.290871225856,2604.9837389446425,2376.188659341089,28491.59293779149,153,27,Yes,Yes,905.7382554971504
726,2772.4904953774585,1199.620396918667,643.9726039581028,43750.69055849048,57,35,No,Yes,370.6437967397831
727,3548.4765836258184,1592.360022828691,4052.3955743211277,51300.26358823783,47,48,No,No,650.7428759053594
728,535.5093348513121,1440.410185985802,418.6630281031666,72714.60891550606,44,47,Yes,Yes,283.7125064534023
729,9287.747197931454,2573.0616407514494,1909.5047786705825,74898.29767151187,49,1,Yes,No,789.3973116059875
730,3837.3525793284452,760.631976813315,2030.207982692873,25364.67042921554,128,9,No,Yes,456.41198503912983
731,384.14009265924966,189.38993735273544,2428.5082226826985,52622.89806817503,85,33,Yes,No,307.5400858941308
732,6704.53932441085,2417.4057278554715,1919.504913073508,17476.57524383805,123,35,Yes,Yes,738.907390053951
733,9767.464559299246,1496.013164313728,1212.4704070740938,19775.458894945295,88,8,Yes,Yes,733.6484647528708
734,5830.046191661807,3813.6977791792037,2371.003679978084,72875.0542335118,165,23,No,No,810.5689128101519
735,8220.885607926968,2801.034049575417,1371.4609773040725,68753.23891209961,43,12,Yes,No,733.4288566068346
736,2473.1125904012124,2387.130362199594,1557.732999651144,8860.200777885988,190,1,No,Yes,453.4664487990969
737,9976.519969839686,3954.8267803275457,2659.0701309773967,80404.54049388904,50,5,No,No,952.0679602790887
738,6110.7126626994805,2134.0649930764266,4971.933501310117,23840.43639954934,16,21,Yes,No,778.2650421300788
739,4491.648570634853,239.78244742582677,1391.485008576479,74681.68263501275,178,32,No,No,524.9932960735867
740,5382.3356318291635,1930.3072110496992,3438.9963509523714,75498.11466877385,125,20,No,No,720.963798374115
741,4313.283912679526,1331.7270009925821,1570.7682469847173,39786.54952894132,20,9,Yes,No,431.710165986354
742,4542.594701498465,2118.9848757253194,2658.340385357162,32789.08710682861,60,35,No,Yes,622.9728489841256
743,105.2896585530486,3481.7381237703903,786.5400372395885,10594.683235047363,112,25,Yes,Yes,353.543370553861
744,175.29573752370172,2077.5448044665704,1319.173423644228,52917.316818109415,79,14,Yes,No,288.04276703354134
745,8878.366255866214,1100.2412214627363,1533.2315245826676,63489.56839623105,186,27,Yes,No,797.3658532152019
746,7818.9019328322975,3824.1331170724234,680.972301639891,45767.625165599384,90,14,No,No,748.2874871030634
747,5998.571958540331,191.40470756247805,1206.989636742895,79258.51636650533,115,29,No,Yes,551.6178034111406
748,8909.092189932026,149.77605228328028,1105.618703219447,81413.28122660218,20,48,No,No,686.9912855327102
749,2579.044341044469,1705.0170131502648,2155.389219410252,49657.75409647106,24,15,Yes,No,412.59052486000877
750,7642.737038926614,236.3937599778809,4426.14057352223,63677.71828772882,23,31,No,Yes,769.8260080701448
751,593.713347556393,2891.0156445204125,2883.2873445112787,33770.12423300404,61,19,Yes,No,434.62620612095617
752,6807.31411422374,1487.1716033006364,1727.5512389710173,27528.359717211002,195,48,Yes,Yes,756.7908472601906
753,1178.2963267269756,1834.172174024063,2583.787071770127,51079.80962770621,111,28,No,No,447.1400906473857
754,9871.877152284524,1326.1781511042018,770.6381298799919,37070.831667755905,20,32,Yes,No,727.5649362748912
755,2166.9892311972426,1630.6054027155217,2119.856639837142,42262.67699616582,50,3,No,Yes,370.03137584470414
756,6441.161059639263,2350.416101448603,1973.907343869119,73713.04716281318,188,44,Yes,Yes,802.4002195150293
757,6731.312129378815,1146.750683072436,1137.7282732619942,67007.11191103025,18,7,Yes,Yes,529.6477542978503
758,3568.9268431566093,2928.8986336488506,2612.2565314502267,63464.773889095806,9,0,No,Yes,518.8389172454173
759,764.4110699822368,933.7964660851862,3449.0257578275696,74704.09996376476,76,48,No,Yes,461.02597044648445
760,8727.372962288775,3752.170400777626,1555.450634480273,66546.24450455044,35,26,Yes,Yes,845.7947539884188
761,6572.498981529939,1736.5553655621923,1251.3139470499884,50186.17865782962,97,4,Yes,Yes,588.898131800504
762,9051.840493944086,926.4580864821121,4131.18079525844,59818.16406284076,176,2,No,Yes,882.1925652092993
763,5549.098872842083,1365.3899642529607,1377.0620207096738,55604.22314671799,138,14,No,Yes,569.57033626054
764,1473.5255644916092,3910.794273245475,4049.387439154398,31165.724173419636,133,13,No,No,625.702642841921
765,6465.054915736119,2057.477125841977,2762.8676831113626,27333.34670927035,88,15,No,Yes,695.8236282288037
766,4002.90443715586,3328.743445600745,722.2008648517125,48463.36349358792,61,44,No,Yes,575.3008912888106
767,8045.294386868759,1380.0613421746639,2821.5219339031128,66290.45018945771,17,37,Yes,Yes,771.1818928651414
768,8620.354625929933,1520.4863187332342,3861.7257685805184,53507.297602266524,87,4,Yes,No,828.4500380725109
769,9642.363374063692,2115.3564703989164,934.8931410687727,60402.70190419466,145,1,No,Yes,776.0028215568295
770,4893.860883391536,791.0604948259345,188.71337031665092,54400.27005677306,117,6,Yes,Yes,408.1587844517333
771,4880.484871891358,1516.5235513072867,2469.6827072501596,38168.009899445,157,44,Yes,No,673.6893790878436
772,6528.727354309884,638.6387455683786,1910.574555337045,27656.22051563651,22,38,Yes,Yes,590.8583897238282
773,2509.055203143565,2992.0081236495425,4378.780035222282,69767.01880455355,4,7,No,Yes,581.4568690744958
774,9617.275395041484,3930.052336048996,2223.595020429995,67752.47160441068,96,4,No,Yes,925.3220508202872
775,7951.013962307586,2657.7253135342053,2913.6594286576615,33564.64260653907,194,41,Yes,Yes,931.738603530435
776,4500.061636619617,1005.016022573802,2031.8887862778618,40768.43879460721,189,4,No,No,532.8468268562236
777,974.6631010703696,1359.006679065659,3903.3612677969368,11128.632092722197,95,3,No,Yes,406.39538476429374
778,2024.1027872284828,2618.8693906892368,2396.0761963244354,34096.1588265198,26,10,Yes,Yes,428.9023271694862
779,6006.5629576165275,2955.1219889044255,1624.035570217902,18401.461101209283,32,14,No,No,618.0900465446391
780,3295.410578067394,464.6641613436964,752.381997478732,25831.950124741583,77,34,No,Yes,367.3591269759035
781,1487.0606135789733,1015.9508903530175,820.2094531072162,22434.726932708072,1,4,Yes,Yes,195.96165519540693
782,9915.0528967477,2484.5118413806567,2488.8221966166734,8904.148219059029,41,48,Yes,Yes,923.262741407109
783,1507.2695536656415,2127.0627346997203,833.207752982683,29933.064767269174,8,42,Yes,No,346.5852437657744
784,1496.8486944586932,1442.781273167031,1782.7986121646331,45275.91256688312,12,48,Yes,No,385.2256803515711
785,3077.0849189530795,171.5017283381879,2619.42901337955,82137.21235208903,198,34,No,No,534.8677371178113
786,3811.6052220023407,3868.580978468455,1673.5322530871415,42125.32018174224,144,48,No,Yes,699.2958492959285
787,6855.146822772066,3868.7056511988094,4663.470484461674,49745.358393652765,186,1,Yes,No,950.7207538210483
788,1001.6644514219421,118.07179892511786,1468.98236255518,61411.853916120235,169,36,No,No,338.3663389244558
789,1612.7346865801608,1208.2590543941499,3794.0378556257656,10095.059986369573,173,41,Yes,Yes,551.802858938623
790,7338.456512481384,331.69533641608217,4378.580572818725,19923.798090489683,73,31,Yes,No,766.3756746771185
791,7958.683044015511,189.18573126552008,3596.9539496322495,25218.24524727536,100,12,No,No,722.52721572915
792,6558.728589015307,2621.581974836648,4226.224077514013,31008.13525726175,83,8,Yes,Yes,796.2461784083877
793,7876.460001056957,3796.5146107028854,2685.6658574074436,28155.201044065165,18,29,No,Yes,849.484592473318
794,2541.858803274702,2566.3922579624277,3050.6294385547176,28964.276863993364,193,29,No,No,622.1096333545682
795,1015.0185915772826,1100.8485502889928,3828.4162745112258,18043.511577796547,156,23,Yes,Yes,470.91573153109334
796,5505.979803431524,113.18872222865716,4072.76220903935,51295.950700456684,37,0,Yes,No,565.8123129345631
797,7614.592696461291,3807.839072269116,4937.550078684618,48535.24036714977,63,33,Yes,Yes,1005.0706672490514
798,1664.0921748305302,2762.715299208716,4817.994196796049,43854.35074283223,174,24,Yes,No,670.5295330494558
799,1070.9028521851867,3546.3043431598053,4274.896783029723,64286.17307326007,60,22,Yes,Yes,590.7280843607292
800,2429.1808897753463,178.61071219374634,4005.342604072246,66892.5239241166,48,41,No,Yes,506.32546318348534
801,3660.3610659782303,2106.233118224586,4621.641934440654,42489.87298720656,165,16,Yes,No,706.6854637964914
802,4018.772800717271,878.9527170340949,3424.6865888434736,37003.173718203616,82,23,Yes,No,561.0246355702934
803,935.9558924048313,3684.343988160842,2114.917076731038,53812.88730882677,13,6,No,Yes,403.756649051988
804,4040.4640225129915,2143.31934496636,236.0742894944139,76360.360603878,62,48,No,No,508.0241665876321
805,9430.544559508291,1759.2682154003169,2395.540645319035,74628.2065635341,96,8,Yes,Yes,822.6913587358234
806,3003.8152678415076,1505.350789529604,2877.921079019922,33115.020835923846,146,21,No,Yes,539.0061922067988
807,8985.907281619217,2964.952565102949,3962.4304923733043,53884.910240000325,87,13,No,Yes,949.1240043168057
808,2246.1056471271786,346.09466751355166,4532.838026570736,82400.40075069791,30,11,No,Yes,465.53602331641054
809,8861.683533937716,2282.0063051912166,2709.2654321664368,26143.19009479421,198,0,Yes,No,857.4267735591163
810,2623.20461656471,3029.3283499441973,3687.6080974359425,15281.471877579625,155,33,No,No,669.1690196384923
811,9476.1176993186,3192.5502664723813,2450.2294258568686,53194.23597437401,160,47,No,No,1016.1297539748173
812,5903.410383589501,786.6153063522205,3901.8460624683325,62565.209491022004,1,49,Yes,Yes,704.7439090003548
813,8580.819577260901,469.6683818941991,3554.5582189490947,64334.84247549518,50,19,Yes,No,770.7784200040873
814,6846.712046918725,3232.0119253746234,2852.724529778667,69929.91240440117,114,1,No,No,783.009259877634
815,5494.268382658277,2651.3236154318183,3291.384035098509,80908.94226382561,26,10,Yes,Yes,681.8658100770069
816,6960.687494086723,1876.2393735142539,4501.818933282832,34475.58506533984,64,24,Yes,No,819.9922863803406
817,4631.978066350323,2218.6169758683513,3472.668861667729,51793.27684611284,77,50,No,No,728.8453747549217
818,4060.33347335197,738.2596833455406,2922.6357724795425,19544.098263076674,115,21,No,No,534.3999806856287
819,3806.313950091412,3312.342664863258,309.2889697808742,49491.7435854312,118,19,Yes,Yes,517.4535377939849
820,6418.773349348594,3637.0129262371397,4726.380762865657,52582.30308247135,103,35,Yes,Yes,949.3893022877369
821,6044.3378919315255,2739.788700197986,3974.000189921626,18701.357301323238,180,27,Yes,Yes,851.4846929513939
822,7350.046022627928,3509.545353864147,1186.0623786106987,49588.819681149624,17,27,No,No,725.6536554313925
823,4338.3149097290125,2358.4759061916297,4121.533321161651,20855.219130969585,102,19,No,Yes,690.6779620382
824,8352.80828313762,1111.8804706981307,2284.067178979542,76544.01697084421,56,42,Yes,Yes,779.3808418922044
825,1865.429643302646,1713.554438851444,993.9396965901319,70362.73051781497,47,48,No,No,403.47253572496913
826,990.2616594071321,3577.457836389456,4750.076474199019,27436.864837029803,181,8,No,Yes,636.2641559321922
827,9325.44509673955,3269.6251541786955,2089.4241516166667,36607.626789869784,199,21,No,Yes,949.4956653215482
828,651.9232774981101,50.91142288553628,1691.723124353509,75530.76566017178,0,43,No,Yes,257.00783073188256
829,324.5657591059703,2100.5297522650794,4090.9289614466084,55484.40081960972,2,31,Yes,No,449.7543389924593
830,9771.276542568454,527.6172958646616,3629.4913071816613,25871.46550199273,20,1,No,Yes,769.2694142467896
831,2673.7951485205,2392.562961841359,3726.942769690609,61943.562151355,22,30,Yes,No,579.2067743313022
832,3213.656080446733,2453.1486661770296,4289.651549254068,78476.67596214282,133,4,No,No,652.9958487356488
833,8029.454492000686,2642.985204601826,4534.694967058662,52477.77407808106,77,17,No,No,917.1670704712883
834,8311.976663704127,1826.0977444598875,2413.58495455456,27194.225861290914,39,46,No,Yes,802.1001755761533
835,8004.817528990751,3269.3402709012234,2184.990911154204,55868.20956626235,66,4,Yes,No,782.5962137532148
836,5888.887845995063,2029.6202047116092,990.0869192176575,34796.481264325674,200,32,No,Yes,665.8981936973065
837,7408.385019022744,495.32852806507475,4918.8074093260175,57022.176099706296,36,26,No,No,792.5563394084145
838,939.8970099803652,2463.883079084558,4073.3977914766892,69915.83790450892,66,6,No,Yes,486.0541858666225
839,4974.563677194959,3030.3587869617254,2583.1910473723437,75878.78746402447,88,17,No,Yes,682.0728445930531
840,4053.0782610319725,3957.626509771376,359.1196927527578,45774.616044718394,191,33,Yes,No,636.6662364453704
841,9644.228094631842,688.5316080075603,4408.881307634117,14275.197182203181,87,18,No,Yes,884.7523811568666
842,4377.157214660853,1840.1257404452883,2924.5422847820496,58211.582045378644,51,8,No,No,560.4625691411828
843,2396.8604024434453,3439.1501816681393,1323.068427734495,73372.91903699271,37,32,No,Yes,500.9682248524693
844,114.23736386154542,3948.973230775029,1193.2930375156652,44024.43435052193,154,11,No,No,407.2042644065114
845,607.343934991609,214.00843557404613,1608.8223255710698,40698.274432600956,136,49,Yes,No,332.7782792503397
846,8730.128836569305,2060.592429879805,4771.636223739171,26935.429461238935,136,29,Yes,No,985.4328077670309
847,6767.1078181029425,3121.124359949231,2559.7167380060832,49255.55691122661,143,44,No,Yes,858.7541300250173
848,7474.729322842174,1558.65255281621,1204.0898227782636,37217.39705130723,161,30,No,Yes,711.6264952943034
849,2008.5673630200895,3162.938251166436,1131.8929470016076,21535.588573021454,194,20,No,Yes,494.75455373672685
850,1771.9647312000893,2490.232689923491,3185.7288141311633,70911.8036974345,50,13,No,No,488.04420506788534
851,1903.9667110503558,2549.167860266467,372.6468107069119,40698.35605361598,39,1,No,No,294.74496044025204
852,7425.528733147802,2446.5027338603613,1987.4044713394371,17184.629755738715,83,14,Yes,No,713.8909334021236
853,9331.385572300662,1882.9416952218041,4874.125950767,12551.117017295426,106,6,No,No,940.7729889850967
854,7273.025206514974,2541.245726724603,5033.964530731085,23881.589466448226,191,11,Yes,No,938.4344478206312
855,831.3898115078443,674.2586689584382,526.6664909634294,72595.10085120339,89,42,Yes,No,278.91126680013895
856,1324.2337943997948,1529.5028741398246,1767.316446614549,81728.51032337187,47,34,Yes,Yes,382.60731590978395
857,4303.942259514562,724.2823042415633,2782.174805955532,80270.85918348984,105,41,Yes,Yes,600.8316555111626
858,1637.9924046834512,727.058865581191,3073.8893379324345,11853.878487145257,155,12,Yes,Yes,414.1722212844986
859,8714.53825654418,1017.6725076261849,3062.3127615084713,32979.450988749246,196,16,Yes,No,840.0716192847286
860,3217.9797319667878,2093.30625943088,2535.9171382355494,31993.82695971896,105,24,Yes,Yes,545.3093945077751
861,2485.232622950936,2134.0151615987115,1232.7897651876517,59975.11403011308,21,49,No,No,455.37830046385346
862,7283.363316708855,1699.8488281707423,4780.350327947465,18121.336414140602,124,17,No,No,854.6413590187963
863,4209.082570233685,123.54888687993947,2337.789741988036,18798.23928712668,98,13,No,No,449.64857643920425
864,322.174744624255,3009.568832019129,1791.8313220612351,10472.025497302286,147,30,No,No,427.3164575416718
865,8243.993672772245,3913.8272797479117,1487.9716912716121,33510.04122692956,36,8,No,Yes,773.0844668487914
866,9114.247623149837,1503.4381161682593,749.6682608152981,21575.421982685057,99,33,Yes,Yes,735.3570497334249
867,9963.626467716507,2907.300247339745,3525.9438606837343,25606.314750435205,4,23,Yes,Yes,937.8539749955061
868,9958.400246446645,2306.7191509568183,2290.146661863701,68976.815475129,194,29,No,Yes,971.149896871657
869,4292.35925701506,904.0310810849721,4518.492908985657,50606.51421729266,161,20,Yes,No,680.7279152237719
870,9133.30971659445,97.9007170900401,4622.8873060432115,10250.35976485008,174,50,Yes,No,955.6635726669929
871,6032.973300037816,3106.943320060996,1756.0824845238092,9302.726213503802,166,17,No,Yes,711.5308597851168
872,9117.151327054511,2276.883261800836,3039.615262108592,40064.36782724074,35,35,No,Yes,882.0925035158014
873,3399.5126151312015,514.5999373377073,2506.4935120250275,77599.7905943964,14,6,No,No,398.8347097188183
874,6297.068024422849,1176.6765486979332,1781.3741754422051,72128.46256274267,21,0,No,No,533.2349737136091
875,6898.6053784596315,3482.6389725716926,936.5335989861355,54612.35494758104,107,4,Yes,No,687.2343569761557
876,6120.308795892038,1580.5943056418787,251.4821129738686,18515.78162780498,107,12,No,Yes,511.1618859565372
877,2794.2554468253015,1195.271575703032,4257.047087760877,58368.177884936755,32,41,No,Yes,580.9207594057771
878,1048.577135735038,2306.7091537789584,3593.293506112277,61021.12321337587,86,48,No,No,556.3519569641119
879,4752.754257593962,3088.740478387491,2251.300866850781,77077.3286007652,108,1,No,Yes,631.0145174133977
880,3914.5985707808472,816.7236250936354,2132.9756271149527,73356.20488128334,180,39,No,Yes,582.7752391435121
881,5606.636581985022,3654.587354249449,107.07866688476722,48395.3912776317,91,12,Yes,Yes,587.8303808859636
882,724.1217632598554,2207.650485327056,4980.235797917964,56413.71496033696,9,37,Yes,Yes,543.934783042511
883,5495.401831438869,3918.5647592869523,1307.8637368630384,18618.02177249954,43,3,Yes,Yes,605.7316657460045
884,6674.970371317848,2454.78007890126,1796.2484319269438,65720.42392040968,195,14,No,Yes,744.9015024889372
885,8696.822943615267,1984.8121609869215,1015.2487641705004,44669.77453856984,151,4,No,Yes,727.7339591099833
886,6970.317657620576,1464.229945068124,4316.355326073948,52957.39420705702,48,17,Yes,Yes,771.4059957761224
887,7430.033794275888,2177.1607864638913,2749.5867097701803,66999.56017027477,189,22,No,No,838.719190858112
888,6667.795843702877,1792.3145259423586,4318.550774729917,17589.18068285772,185,11,Yes,No,821.1346395483441
889,8582.835031367042,613.3709526089699,1475.8251350555684,49631.27797360832,163,16,No,Yes,710.7312890889555
890,5022.656427088434,1410.064377135042,4777.821800836947,82225.4590707641,44,18,Yes,Yes,703.9438303019718
891,241.8508142021236,3949.8854616457593,2882.724202021503,46570.10588363736,107,26,No,Yes,517.4772637202656
892,3990.993061223903,2027.1457697910835,1809.9314755254607,47600.319457521065,130,17,Yes,No,545.998543181196
893,9215.939049246497,1918.7974542308607,1379.927475005244,9138.214590745934,131,6,Yes,Yes,751.3991635337021
894,7197.153500752558,2842.4968521305595,3952.5454559846235,8598.505376827781,29,11,No,No,794.1218714133419
895,1372.3393043649544,2360.3686724418194,2473.8137281336576,54644.17713333898,37,1,No,Yes,379.9640943895762
896,2867.4387440468013,949.9898855964009,647.1409154195661,64058.29146030143,33,22,Yes,Yes,328.8314899042927
897,9204.222759366387,1183.9490735794836,4650.043274631196,36390.95322878275,66,45,No,Yes,957.87289277169
898,1624.3551566185079,292.8175017528314,4226.179670532145,25108.60124999336,45,43,Yes,No,468.78161344330886
899,3416.0024070433947,684.7087893953844,1389.1263170193224,74946.62586770748,172,16,Yes,No,453.25989194237206
900,23.58404292393658,2492.901527978546,3740.571857278542,34922.50990056072,101,26,No,Yes,470.0941938193394
901,3302.679191770023,1762.4636342207368,4892.802813206715,23277.49991585937,42,10,No,No,596.8329697774587
902,3632.7255049433106,1647.356933721131,4056.3578910186925,17902.426146268255,17,15,Yes,Yes,555.8100072002153
903,1428.0113131046603,2524.804320177163,148.42407395503622,25681.58896711908,54,37,Yes,No,337.2360085677673
904,6495.517522546581,305.386859031618,2512.984512857684,15827.8792623654,142,8,No,Yes,601.075117317949
905,7385.421937668862,2249.7731855369298,3260.8434956921055,36993.07484257722,7,41,Yes,Yes,798.7476660377259
906,9553.201602458848,2975.9373332872938,3931.386708014096,79597.78424841828,160,44,Yes,No,1096.227267907594
907,1381.6557051323266,2975.1405009280206,1888.162490953627,57553.994294848155,115,31,No,Yes,489.6888093035132
908,362.73703489996683,4005.263928769399,3569.468434978419,77530.7361809902,58,1,Yes,Yes,495.7196579604135
909,3912.3633865856236,1049.1369657667203,1596.6024750552897,71149.4659422139,122,28,No,No,507.66584738629643
910,7942.989392060131,2075.2088048185387,628.2149045855483,35321.50253058919,14,37,No,Yes,664.5935409447964
911,7405.311271147539,3299.416900258021,1142.4478620132998,78440.73650482977,153,45,No,Yes,840.7726241219511
912,5948.253233197088,818.8995707197895,3923.1946333619067,56730.20565876663,81,40,No,No,732.0694502257966
913,4324.968201917677,1022.3656040164079,726.8647780177583,38203.92115720593,137,35,Yes,No,489.32643362663913
914,8908.481271151153,775.5449147855884,4443.989004298815,27006.59509746904,136,9,Yes,No,864.8473585680622
915,8722.608452440574,1868.9506149444644,4126.213221650648,75878.17717719224,53,13,No,Yes,877.001778045967
916,1655.9548201656164,3326.259273163812,682.1124448321129,70659.97152173515,138,12,Yes,No,430.39928178389476
917,7063.390750621884,999.0643220683532,3245.3436702410804,20299.855243859412,46,17,Yes,Yes,677.359251506183
918,824.7170575675749,102.61917137989784,1352.1986268693474,23150.788708432825,108,25,Yes,Yes,248.6289359776914
919,8719.805762842792,2694.6461014116558,459.77366436145354,17745.097353983387,159,13,Yes,No,748.3782483646041
920,4154.647609111672,528.3094831874517,3796.2816529438596,22876.223797493207,57,27,Yes,No,560.2142691370419
921,2723.037806803065,37.88815517047283,503.8644045090778,39270.3997492686,113,26,No,No,308.45375975933473
922,7655.212768930592,714.1729077757761,3274.765107196042,41968.431442890724,119,20,No,Yes,750.5365070036025
923,1606.3956684115187,1026.4934527212636,2290.899562253079,39563.10087601353,122,20,No,Yes,394.48192897279534
924,5268.326566915678,1427.945095844777,3427.6351486715903,48762.83730728112,85,9,Yes,No,631.1099689312447
925,8119.778275410507,1895.6496146961792,4485.54939162161,76670.91137150385,185,19,No,No,953.253514848966
926,3390.463870354664,2824.3875924395443,190.22787672621104,23738.559869401866,48,49,Yes,Yes,480.6043079801406
927,4642.928708897713,3545.30249435399,3847.44689642353,69155.96984876157,99,39,Yes,Yes,814.8294959089046
928,57.78138516640158,3215.816653923691,2485.0592145614223,66832.39636552778,177,35,No,No,513.1935392393337
929,7432.827314231595,3677.879218456868,2025.36826379829,15972.520168434836,200,31,No,Yes,882.3465453372794
930,6317.267974055332,1312.1962667285436,2140.133435305801,70314.39795184077,151,1,Yes,No,634.5715989269085
931,7008.71354997511,2969.320432564246,2726.3488143629816,33589.110506780475,110,11,Yes,No,775.9361907450029
932,5533.6588070482685,726.0138314825999,2013.8393221368494,43098.1062796722,139,49,Yes,Yes,643.6884872040731
933,103.97064776069433,3511.6418646044276,765.626661377578,24220.549732163643,189,29,No,No,410.56968041120666
934,7379.3241786646495,2908.2587116561485,2358.0054435538664,33153.60497232605,68,26,No,Yes,781.1130832667042
935,7678.901609044525,3666.4384441213087,3517.0001328710387,61206.95243959191,99,6,Yes,Yes,886.1676065120587
936,5781.372185507567,1654.6148930415916,4396.014253020964,73431.90759015108,89,19,Yes,Yes,758.519730417625
937,5923.835887245421,2233.2687796390637,319.64656071476185,73553.84223758058,170,38,Yes,Yes,652.4617933756638
938,5509.156164636208,3625.160227870604,3203.4841467815495,38084.48867548082,122,6,Yes,Yes,755.8918379265801
939,8162.818444969537,1947.8319021652276,2591.804763397869,18605.758398791433,7,45,No,Yes,787.5373869240773
940,1893.924286222514,1979.5411834366685,574.311984346285,29790.50898677953,176,39,Yes,Yes,430.17281532245005
941,2768.1951576496554,3742.0768068686784,5069.204957151721,28978.256170905628,185,0,No,Yes,741.4877694037924
942,8044.394298644727,1281.7365573751142,4868.926753846825,52284.61997097164,162,14,No,Yes,905.360656421921
943,7089.913941141521,1221.492978165326,2295.912926593154,59483.25414775294,114,11,Yes,No,676.5468290044852
944,388.69218518117435,3935.1203529084332,4645.75948013483,20658.674846478913,149,10,No,Yes,601.6877454416815
945,5814.117013551736,1862.2401975031987,3757.4463510011246,63259.111487217146,61,21,Yes,Yes,720.0418214493983
946,9047.27678063036,2395.352765885172,588.366462016212,20897.3179554103,149,38,No,No,807.9601968883686
947,6545.525388781816,2424.6010799051023,3262.260989290514,61234.102948545966,40,26,No,Yes,758.7288561656529
948,1227.0950766857588,2376.360216315965,4094.9804864281186,63564.95143581214,34,11,Yes,No,488.63895618292497
949,954.8674526949677,3323.9489203331996,4540.4273276294625,77767.88624098993,154,5,No,Yes,607.6823186602345
950,4554.249416810066,2878.742738704656,4393.814098579553,59186.47015543859,186,39,No,Yes,850.0532404456658
951,2505.9276152806865,3030.9605113331313,725.6607503492734,22833.86271607006,163,42,Yes,Yes,522.7558348148071
952,4943.150496511334,523.2574602550459,3639.380490606047,75482.22367209254,103,33,Yes,Yes,651.6768937999532
953,9734.961090532488,1928.7125733523542,4532.747809421312,45889.92268900849,32,42,No,No,996.7446380484167
954,2346.752411324573,2673.306504444499,2994.6812585457037,71395.88957975463,162,38,No,Yes,633.7459605697117
955,1322.5320344777795,2562.9250278186137,4189.867119115476,26943.970924908004,48,21,No,Yes,524.0488565159237
956,9440.23858497534,3723.068705411242,1637.8711349514779,51814.980132751065,29,16,No,Yes,855.3222690224907
957,7881.120963142556,2940.667629560629,3529.604097649889,73188.23381989123,67,40,Yes,No,921.4088849929931
958,3164.0052461427535,499.6352142313147,992.380820179251,8824.49223936358,167,47,Yes,Yes,447.1463149443149
959,5408.832067574601,1023.5671710637117,992.3685973978612,73668.7487773781,66,30,No,No,525.3439415485549
960,6145.188864925071,1337.012899128141,1322.4974800176424,25681.425069616373,75,18,No,No,558.7058631362889
961,2175.8566077853898,1236.7883280585702,3673.4547330784044,37787.46218939021,170,37,Yes,No,576.6230991155469
962,8770.792701429846,3918.407747066393,1404.0251568873423,42234.15469050232,24,46,Yes,Yes,876.5929360129359
963,6021.529485881766,1621.159972165134,543.6167065032204,70329.01068612497,68,15,No,No,530.3104996859136
964,7791.092682954835,2935.510440739415,2174.233042780976,44437.94456732883,111,38,Yes,No,848.2768190151681
965,5062.801975543844,3836.108780784618,3333.09083653111,18055.44678326764,87,26,Yes,Yes,767.6943484506427
966,9044.13593145271,3815.1287480258657,408.7855448552268,45955.27375922577,128,11,No,No,811.1351120918398
967,4031.0907808721117,1734.2794781827615,4957.532032928008,27355.687920645432,130,47,No,Yes,768.5799951894683
968,1628.0298553940966,2476.9283342489875,4500.921183796329,27233.732897529797,87,7,Yes,No,543.9026763352788
969,6109.288472765499,1643.1338829094655,2638.1428488286083,67062.20366717469,108,47,Yes,Yes,745.346815080286
970,1614.3092122123048,1332.3045954535642,4964.39078038387,9886.693033846243,101,19,No,Yes,536.532547742516
971,1900.2037835003252,1463.4701598441857,1499.0367827212986,61295.085347403445,192,2,No,No,395.6750189615646
972,4236.091255521256,2598.965507938875,261.73838578042165,52282.80445687253,34,11,Yes,No,437.26340663871537
973,4977.908370820559,2417.920835269532,4953.276196326131,72614.47033331552,175,36,No,No,872.4488541938157
974,5199.062246753648,3655.276814016636,2526.4946454360093,21573.35027637443,134,9,No,Yes,709.7132215167422
975,5163.194455228928,2666.6541538324636,1386.3081962399558,35718.722257232715,41,10,No,Yes,548.1443603548875
976,1155.64974538241,3100.429778706784,2311.2152130595537,68353.64412076591,113,37,Yes,No,524.66052398025
977,9876.485791278083,29.025076892229098,1124.81053017203,10846.129258212794,122,35,Yes,No,732.0583365906551
978,5471.1123611072635,2250.8878209278146,2750.4970792066597,66187.22553602749,186,37,No,Yes,770.7440486187487
979,9488.150175038043,1510.2412737409506,4731.809629875075,65927.94830971633,47,25,Yes,Yes,951.654334731177
980,3352.4813194096178,3261.068124580881,1284.617735290822,44744.00907854754,36,12,Yes,No,483.74913143945895
981,5477.029355588284,2399.0964435053456,1005.1019442973496,69980.05015749738,196,43,Yes,No,700.4099841174273
982,8123.272785635169,2423.535007265926,258.3594760636936,76548.39594395555,89,33,Yes,Yes,720.0913359227686
983,2096.269125226128,2042.2837035626776,2921.6603587620216,12323.777069944685,24,15,No,No,433.5907257240946
984,488.0052031840543,2526.405588379399,3131.1787803404295,16119.580309955938,7,29,No,No,409.3604018687481
985,3750.033224491917,3125.5808679756246,770.2128300624571,25823.688412564683,156,41,No,Yes,590.7791216760378
